user,ndcg
45987769,0.9778593573382484
45337884,0.9751715290257117
44605628,0.9809578738341571
43828497,0.9757001135889819
42444500,0.9829487066320338
37829070,0.9825247543724968
36855984,0.9858178246729818
27900917,0.9791500812848625
27612232,0.9799442382502673
10032764,0.9880103903304412
4869982,0.9843439694643369
4783264,0.9684991679122982
4584061,0.9838152823398728
4573673,0.9896911018495423
4504171,0.9864306898595031
4480774,0.9818269115121484
4459843,0.9866083631241199
4432234,0.9984391119800226
4419732,0.9832956297508663
4390089,0.9773730663504309
4328538,0.9661514552601567
4321056,0.9879528448103041
4266578,0.9823926610094091
4243064,0.9882497844851241
4210333,0.9846317535017401
4204517,0.9880807022548186
4187528,0.9897476697992618
4114001,0.9780803758731843
4104534,0.9827255965040301
4058423,0.9889528683705814
4020382,0.9856097556389118
4012280,0.9852930035208173
3997105,0.985567539950674
3924193,0.9825492755773935
3872317,0.9774949500394654
3835874,0.9834180827135727
3756896,0.9786563518563036
3718831,0.9807066106876728
3659732,0.9787892211007385
3576498,0.9821615065258409
3571728,0.9677435543793746
3565317,0.984116280414842
3507246,0.9864664381085364
3494904,0.9801226043349139
3483674,0.9732022289795367
3441020,0.9829821259304602
3377711,0.9833101822569394
3310238,0.9897429568743934
3308317,0.974224769554655
3298656,0.9867582480847916
3275026,0.9841502140410675
3265640,0.9807028856575352
3257743,0.9808295323407378
3196945,0.9870352350874314
3146327,0.9837224462806247
3110829,1.0
3106355,0.9876256181613728
3029054,0.9841259191419729
2931632,0.9823874830391096
2923991,0.9742500513058769
2887092,0.9816702407691968
2871839,0.9876149996840864
2866549,0.9808757421889389
2864932,0.9879792278407369
2851211,0.9793819212148634
2831524,0.9829838653787388
2790785,0.9751810687858476
2788465,0.9769178242916993
2737574,0.9895428083061114
2733661,0.9820260050003883
2728851,0.9782211380752637
2718960,0.981643136288491
2700495,0.981511499135484
2683561,0.9889149989247963
2672224,0.970779943233882
2665497,0.9750065098554315
2650181,0.9824231207340991
2623840,0.974889134248938
2621589,0.9800651451195945
2614823,0.9843455022226713
2603819,0.9833287683677431
2601165,0.9819418030212645
2586116,0.986334918026127
2583379,0.9840299037045394
2580197,0.9656275594189123
2548540,0.987212154214138
2532481,0.9800131241362393
2532423,0.9828339608408005
2531459,0.9784931247751634
2504060,0.9774204225262978
2502133,0.9951300118652855
2501452,0.9800239374455773
2489892,0.9823160495472081
2478751,0.9821292022607646
2473833,0.9854967274432398
2470009,0.9881290068339112
2467021,0.9831848996656033
2458731,0.9836858579391161
2458162,0.9852136602398556
2456521,0.9757640008074842
2447160,0.987353956685546
2433862,0.9856420663628728
2423171,0.9830695956703586
2420609,0.9845418550694155
2402677,0.9859251410808293
2398175,0.9777541499573924
2391083,0.982875895428662
2380813,0.9794569226668198
2371597,0.9845190133237015
2367249,0.974274429816572
2363647,0.9854619370060208
2362932,0.9835924186663461
2352275,0.9777880165737167
2348857,0.9829389030657733
2329743,0.9806490422422178
2320897,0.987544704479819
2318815,0.9968450977896182
2317706,0.9814953627022147
2317472,0.9835858388221389
2312968,0.9778922097608646
2297669,0.9818191927490922
2290115,0.9864423646310135
2287590,0.9761782272765647
2286127,0.9813058297626995
2283414,0.9821632843531796
2282183,0.9732004991027868
2279590,0.9798123007422246
2272694,0.9864126241328878
2272136,0.9782815973176967
2269768,0.9885150109252582
2254558,0.9842715599374898
2244978,0.9865074182392742
2226027,0.9812550481672604
2221636,0.9797638662233557
2221312,0.976376303702077
2211893,0.9765507849626581
2195332,0.9740349343461573
2192275,0.9814864782686694
2188785,0.9956710882911028
2188175,0.9817924062098433
2187640,0.9680594928609617
2185606,0.9866080791955177
2180956,0.9756320232657925
2177125,0.9846706331304562
2174195,0.987311127154458
2166874,0.9970242086331081
2164427,0.9944296714755391
2163599,0.9848889011079831
2163500,0.9856985575360219
2161685,0.9740749479287795
2158763,0.9788461037974769
2155349,0.987118071116684
2150874,0.9787788269335828
2133129,0.9823001815248649
2129120,0.9808037211602006
2126832,0.9821065257167735
2126601,0.983593555821373
2116489,0.9763848376694673
2114111,0.9750582120813538
2109890,0.9828500058067908
2095456,0.9838315364138002
2085736,0.9812948037469064
2060100,0.9842292391925009
2057913,0.9923790290748844
2056903,0.9858788387072143
2046829,0.9833760905685501
2037426,0.9785885108146543
2035973,0.983757580398852
2034976,0.9831845783820313
2007121,0.9822664936857493
1999864,0.9739401410163034
1997642,0.9823804988030546
1997615,0.9809378469682831
1994744,0.9856780871871609
1994511,0.9821459571093695
1989241,0.984421155951217
1987990,0.9859617067059563
1985929,0.9827878632941779
1984919,0.9958806447978492
1980404,0.9932393435834465
1968007,0.9835658358025249
1966717,0.9818925445083446
1956989,0.98492006569768
1945834,0.9802233796637694
1943775,0.9973673162412273
